language;length;size_min_word;size_max_word;size_average_word;number_0;number_1;variance;ecart_type;is_code
['1111', '0110', '000010', '1110011', '11110', '01'];6;2;7;4.67;11;17;15.33;3.9157800414902435;1
['001'];1;3;3;3.0;2;1;0.0;0.0;1
['110000', '1100'];2;4;6;5.0;6;4;2.0;1.4142135623730951;1
['11101', '0010'];2;4;5;4.5;4;5;0.5;0.7071067811865476;1
['01', '0110001'];2;2;7;4.5;5;4;12.5;3.5355339059327378;1
['00101', '0001000', '011111', '01', '101011', '0'];6;1;7;4.5;14;13;29.5;5.431390245600108;1
['1010', '011100', '1011', '110001', '10111'];5;4;6;5.0;10;15;4.0;2.0;1
['011110', '0011001', '0001100', '0', '010110'];5;1;7;5.4;15;12;25.2;5.019960159204453;1
['100', '1101011', '1101110'];3;3;7;5.67;6;11;10.67;3.265986323710904;1
['101', '0'];2;1;3;2.0;2;2;2.0;1.4142135623730951;1
['11000', '1010011', '110010', '111110'];4;5;7;6.0;10;14;2.0;1.4142135623730951;1
['101111', '0', '1101111', '00101', '101', '1111010', '00100'];7;1;7;4.86;13;21;28.86;5.371884479132333;1
['11'];1;2;2;2.0;0;2;0.0;0.0;1
['110101', '1', '1011000'];3;1;7;4.67;6;8;20.67;4.546060565661952;1
['1111101'];1;7;7;7.0;1;6;0.0;0.0;1
['0111101', '10', '011', '0001010', '11110', '0001', '0100101'];7;2;7;5.0;17;18;26.0;5.0990195135927845;1
['1111101', '00', '01011', '01011', '110', '1', '010100', '01010', '0010111'];9;1;7;4.56;18;23;36.22;6.018490028422596;1
['0000101'];1;7;7;7.0;5;2;0.0;0.0;1
['111'];1;3;3;3.0;0;3;0.0;0.0;1
['11111', '11111'];2;5;5;5.0;0;10;0.0;0.0;1
['0011010'];1;7;7;7.0;4;3;0.0;0.0;1
['0011101', '0010101', '00011', '1', '0011'];5;1;7;4.8;12;12;24.8;4.979959839195494;1
['0001', '10', '1000101'];3;2;7;4.33;8;5;12.67;3.559026084010437;1
['1000001', '00', '1110010', '0011'];4;2;7;5.0;12;8;18.0;4.242640687119285;1
['00101', '1101010', '1'];3;1;7;4.33;6;7;18.67;4.320493798938573;1
['011'];1;3;3;3.0;1;2;0.0;0.0;1
['00', '01'];2;2;2;2.0;3;1;0.0;0.0;1
['1', '100110', '10101', '1100001', '010', '1101110', '0100010'];7;1;7;5.14;18;18;32.86;5.732115042211108;1
['00101', '0'];2;1;5;3.0;4;2;8.0;2.8284271247461903;1
['1', '01001', '0001', '010001', '100100'];5;1;6;4.4;14;8;17.2;4.147288270665544;1
['100010', '1100', '00111', '11010', '0', '101', '1110', '1010010'];8;1;7;4.38;17;18;23.88;4.886205071423016;1
['000010'];1;6;6;6.0;5;1;0.0;0.0;1
['11011'];1;5;5;5.0;1;4;0.0;0.0;1
['1001100', '101101', '1', '00010'];4;1;7;4.75;10;9;20.75;4.55521678957215;1
['11010'];1;5;5;5.0;2;3;0.0;0.0;1
['01000', '110110', '01', '1101', '1', '0111111'];6;1;7;4.17;9;16;26.83;5.180090089306685;1
['0000001'];1;7;7;7.0;6;1;0.0;0.0;1
['00000'];1;5;5;5.0;5;0;0.0;0.0;1
['1', '0011001'];2;1;7;4.0;4;4;18.0;4.242640687119285;1
['1100011', '01010'];2;5;7;6.0;6;6;2.0;1.4142135623730951;1
['0100', '100000', '0', '11000', '01001', '1010101'];6;1;7;4.67;18;10;21.33;4.618802153517006;1
['000', '010', '111', '0011'];4;3;4;3.25;7;6;0.75;0.8660254037844386;1
['001100', '1001010', '0', '111100', '1001'];5;1;7;4.8;13;11;22.8;4.774934554525329;1
['11110', '00011'];2;5;5;5.0;4;6;0.0;0.0;1
['10', '000110', '010111', '0011', '0'];5;1;6;3.8;10;9;20.8;4.560701700396552;1
['0001', '0', '011111', '11000'];4;1;6;4.0;8;8;14.0;3.7416573867739413;1
['0', '100', '0001010'];3;1;7;3.67;8;3;18.67;4.320493798938574;1
['1', '01', '1000', '0010'];4;1;4;2.75;7;4;6.75;2.598076211353316;1
['01010', '0', '101000', '1110'];4;1;6;4.0;9;7;14.0;3.7416573867739413;1
['101011', '01110', '101', '1000'];4;3;6;4.5;8;10;5.0;2.23606797749979;1
['01000', '1', '0100', '10111', '1', '011101', '0011'];7;1;6;3.71;12;14;23.43;4.840306956027833;1
['0100', '1', '110111', '111101'];4;1;6;4.25;5;12;16.75;4.092676385936225;1
['0', '10010', '01'];3;1;5;2.67;5;3;8.67;2.9439202887759492;1
['0110', '10', '1110', '0000', '1'];5;1;4;3.0;8;7;8.0;2.8284271247461903;1
['11', '1100', '10000'];3;2;5;3.67;6;5;4.67;2.1602468994692865;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['10010', '100001', '01', '110', '00011', '1100', '010000'];7;2;6;4.43;19;12;13.71;3.703280399090206;1
['10001', '1110011', '11010'];3;5;7;5.67;7;10;2.67;1.632993161855452;1
['101101', '101000', '0001100', '0', '110010', '110101', '0011'];7;1;7;5.14;19;17;24.86;4.9856938190329;1
['111010', '010101'];2;6;6;6.0;5;7;0.0;0.0;1
['110'];1;3;3;3.0;1;2;0.0;0.0;1
['11110', '1001001'];2;5;7;6.0;5;7;2.0;1.4142135623730951;1
['01110', '0110110', '000', '001'];4;3;7;4.5;10;8;11.0;3.3166247903554;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['01110'];1;5;5;5.0;2;3;0.0;0.0;1
['1011', '110'];2;3;4;3.5;2;5;0.5;0.7071067811865476;1
['10', '101', '0111111', '0000', '11000'];5;2;7;4.2;10;11;14.8;3.847076812334269;1
['0110', '0000', '00101', '01101', '000110', '0011001', '1000101', '1011111', '11111'];9;4;7;5.56;24;26;12.22;3.496029493900505;1
['00', '0011', '0110', '1110100', '1010'];5;2;7;4.2;11;10;12.8;3.5777087639996634;1
['01011', '1'];2;1;5;3.0;2;4;8.0;2.8284271247461903;1
['110110'];1;6;6;6.0;2;4;0.0;0.0;1
['11111', '0000101'];2;5;7;6.0;5;7;2.0;1.4142135623730951;1
['01', '0110', '1110', '0010011', '1111', '01', '000', '1010'];8;2;7;3.75;14;16;17.5;4.183300132670378;1
['00110', '110111'];2;5;6;5.5;4;7;0.5;0.7071067811865476;1
['0', '111100', '100111', '10', '10001', '1000011'];6;1;7;4.5;13;14;29.5;5.431390245600108;1
['11'];1;2;2;2.0;0;2;0.0;0.0;1
['100', '10', '01111', '0110', '10'];5;2;5;3.2;7;9;6.8;2.6076809620810595;1
['0100110', '0101', '100011', '0100', '0101110', '11110', '0', '000101', '111', '0101100'];10;1;7;5.0;25;25;36.0;6.0;1
['1101001', '01000', '01'];3;2;7;4.67;8;6;12.67;3.559026084010437;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['0110100', '1111000'];2;7;7;7.0;7;7;0.0;0.0;1
['00'];1;2;2;2.0;2;0;0.0;0.0;1
['1001100', '0011111', '10'];3;2;7;5.33;7;9;16.67;4.0824829046386295;1
['1110', '1'];2;1;4;2.5;1;4;4.5;2.1213203435596424;1
['000010'];1;6;6;6.0;5;1;0.0;0.0;1
['0000'];1;4;4;4.0;4;0;0.0;0.0;1
['1011111', '0011111', '0000'];3;4;7;6.0;7;11;6.0;2.449489742783178;1
['01', '0011', '11', '0', '1110'];5;1;4;2.6;5;8;7.2;2.6832815729997477;1
['0', '10'];2;1;2;1.5;2;1;0.5;0.7071067811865476;1
['001001', '11000', '00', '0111001'];4;2;7;5.0;12;8;14.0;3.7416573867739413;1
['10101', '0', '0', '0', '101', '000111', '111111'];7;1;6;3.29;9;14;33.43;5.7817446699565895;1
['11011', '1000', '101001'];3;4;6;5.0;7;8;2.0;1.4142135623730951;1
['00111', '111111', '110', '00110', '10', '0'];6;1;6;3.67;8;14;19.33;4.39696865275764;1
['00', '111001'];2;2;6;4.0;4;4;8.0;2.8284271247461903;1
['110010', '001000', '010100', '00011', '0011', '100001', '0100100', '010111'];8;4;7;5.75;28;18;5.5;2.345207879911715;1
['10100', '1'];2;1;5;3.0;3;3;8.0;2.8284271247461903;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['00001', '00', '0010', '111'];4;2;5;3.5;9;5;5.0;2.23606797749979;1
['101000'];1;6;6;6.0;4;2;0.0;0.0;1
['110', '0000', '0100010', '0001000'];4;3;7;5.25;16;5;12.75;3.570714214271425;1
['000', '0100101', '1'];3;1;7;3.67;7;4;18.67;4.320493798938574;1
['1011', '0110', '001'];3;3;4;3.67;5;6;0.67;0.816496580927726;1
['111', '0', '1100100', '01', '0111111', '0011', '0'];7;1;7;3.57;10;15;39.71;6.301927142889365;1
['100', '100101'];2;3;6;4.5;5;4;4.5;2.1213203435596424;1
['000000', '110101'];2;6;6;6.0;8;4;0.0;0.0;1
['001', '01100', '011'];3;3;5;3.67;6;5;2.67;1.632993161855452;1
['01011', '111110', '1010010'];3;5;7;6.0;7;11;2.0;1.4142135623730951;1
['1000001', '10', '0001'];3;2;7;4.33;9;4;12.67;3.559026084010437;1
['0111000', '111', '0101', '000'];4;3;7;4.25;9;8;10.75;3.278719262151;1
['11000'];1;5;5;5.0;3;2;0.0;0.0;1
['1001'];1;4;4;4.0;2;2;0.0;0.0;1
['0100', '011001'];2;4;6;5.0;6;4;2.0;1.4142135623730951;1
['00111', '10001'];2;5;5;5.0;5;5;0.0;0.0;1
['01', '1111', '100', '110011'];4;2;6;3.75;5;10;8.75;2.958039891549808;1
['111', '111', '10111', '0100111', '00010'];5;3;7;4.6;8;15;11.2;3.3466401061363023;1
['0001011'];1;7;7;7.0;4;3;0.0;0.0;1
['011000', '10100', '100', '100010', '100101', '110', '11101', '1100', '0110110'];9;3;7;5.0;23;22;16.0;4.0;1
['11100', '0111', '000', '010'];4;3;5;3.75;8;7;2.75;1.6583123951777;1
['1', '0', '00111', '1110', '0', '00100'];6;1;5;2.83;9;8;20.83;4.564354645876384;1
['0', '111000'];2;1;6;3.5;4;3;12.5;3.5355339059327378;1
['011000', '0', '1010'];3;1;6;3.67;7;4;12.67;3.559026084010437;1
['0001', '1110', '0100011', '1010', '0110', '1011110', '1111', '10000', '00110'];9;4;7;4.89;21;23;12.89;3.5901098714230026;1
['10100', '10'];2;2;5;3.5;4;3;4.5;2.1213203435596424;1
['111', '01110'];2;3;5;4.0;2;6;2.0;1.4142135623730951;1
['010110', '000111'];2;6;6;6.0;6;6;0.0;0.0;1
['0000001', '1101', '0000', '011'];4;3;7;4.5;12;6;9.0;3.0;1
['0', '1000', '1000', '101', '101'];5;1;4;3.0;9;6;6.0;2.449489742783178;1
['010001', '0100001', '0111', '1010100', '0000', '1011100'];6;4;7;5.83;21;14;10.83;3.2914029430219167;1
['01011', '1', '0111'];3;1;5;3.33;3;7;8.67;2.9439202887759492;1
['101110', '111000', '11011', '010', '100', '100110', '010', '10101'];8;3;6;4.62;17;20;13.88;3.724916106437835;1
['01'];1;2;2;2.0;1;1;0.0;0.0;1
['01', '1011010', '001', '1', '01', '0111101', '00000', '1010001', '1100101'];9;1;7;4.56;21;20;52.22;7.2264944628929335;1
['000010'];1;6;6;6.0;5;1;0.0;0.0;1
['0', '1100001', '0', '1001010', '0'];5;1;7;3.4;11;6;43.2;6.572670690061993;1
['011111', '0', '101100', '0011', '0', '10100', '0111'];7;1;6;3.86;12;15;26.86;5.18238775634773;1
['11', '000', '10110', '01', '1110', '001010', '1001101', '0100000', '0101001'];9;2;7;4.78;24;19;35.56;5.962847939999439;1
['000', '0010'];2;3;4;3.5;6;1;0.5;0.7071067811865476;1
['0011100', '110100'];2;6;7;6.5;7;6;0.5;0.7071067811865476;1
['1', '1100'];2;1;4;2.5;2;3;4.5;2.1213203435596424;1
['01111', '101110'];2;5;6;5.5;3;8;0.5;0.7071067811865476;1
['101111', '00', '10111', '00100', '00', '00010'];6;2;6;4.17;14;11;14.83;3.851406669430448;1
['10', '0110001', '1', '1'];4;1;7;2.75;5;6;24.75;4.9749371855331;1
['1', '00', '00111'];3;1;5;2.67;4;4;8.67;2.9439202887759492;1
['10', '100100', '11001', '1001', '1110001'];5;2;7;4.8;12;12;14.8;3.847076812334269;1
['101000', '0100101', '01'];3;2;7;5.0;9;6;14.0;3.7416573867739413;1
['0100', '1001010', '1110111', '00'];4;2;7;5.0;10;10;18.0;4.242640687119285;1
['0', '011100'];2;1;6;3.5;4;3;12.5;3.5355339059327378;1
['100001', '10011'];2;5;6;5.5;6;5;0.5;0.7071067811865476;1
['000111', '010011', '0100', '10001', '1011', '0100'];6;4;6;4.83;16;13;4.83;2.1984843263788196;1
['001', '000000', '111011', '011001', '1101101', '0111011', '1000111', '11'];8;2;7;5.5;19;25;26.0;5.0990195135927845;1
['0', '011', '11000', '1100001'];4;1;7;4.0;9;7;20.0;4.47213595499958;1
['010', '1'];2;1;3;2.0;2;2;2.0;1.4142135623730951;1
['000010'];1;6;6;6.0;5;1;0.0;0.0;1
['01', '0', '1100', '1110110'];4;1;7;3.5;6;8;21.0;4.58257569495584;1
['1011', '0111101', '1001101', '010000', '0010110', '11', '01'];7;2;7;5.0;16;19;32.0;5.656854249492381;1
['1010', '0000011', '000', '010011', '1'];5;1;7;4.2;13;8;22.8;4.774934554525329;1
['0101110', '001101', '0010', '10'];4;2;7;4.75;10;9;14.75;3.840572873934304;1
['011', '10', '100'];3;2;3;2.67;4;4;0.67;0.816496580927726;1
['01', '1100111', '011', '001100', '0000011', '011'];6;2;7;4.67;14;14;25.33;5.033222956847166;1
['0110001'];1;7;7;7.0;4;3;0.0;0.0;1
['110101', '1110', '0001110', '100', '100'];5;3;7;4.6;11;12;13.2;3.63318042491699;1
['0101', '0110', '110', '11001', '111', '001010'];6;3;6;4.17;11;14;6.83;2.614064523559687;1
['1100011', '10110', '10', '10011', '110001', '011001', '01100'];7;2;7;5.14;17;19;14.86;3.8544964466377265;1
['0', '000010', '01101', '1011', '11110'];5;1;6;4.2;10;11;14.8;3.847076812334269;1
['1110', '1110', '1010', '00100'];4;4;5;4.25;8;9;0.75;0.8660254037844386;1
['0', '11000', '0101001', '11', '1000000', '11001'];6;1;7;4.5;16;11;31.5;5.612486080160912;1
['001010', '011010', '10'];3;2;6;4.67;8;6;10.67;3.265986323710904;1
['100', '0000100', '11101', '011', '0110010', '11011'];6;3;7;5.0;15;15;16.0;4.0;1
['101', '011', '111', '001', '0'];5;1;3;2.6;5;8;3.2;1.7888543819998317;1
['011011'];1;6;6;6.0;2;4;0.0;0.0;1
['10', '10', '10', '00010'];4;2;5;2.75;7;4;6.75;2.598076211353316;1
['0101110'];1;7;7;7.0;3;4;0.0;0.0;1
['11', '010101'];2;2;6;4.0;3;5;8.0;2.8284271247461903;1
['0011', '0101'];2;4;4;4.0;4;4;0.0;0.0;1
['0', '1110010', '0101'];3;1;7;4.0;6;6;18.0;4.242640687119285;1
['1011001'];1;7;7;7.0;3;4;0.0;0.0;1
['111', '00010'];2;3;5;4.0;4;4;2.0;1.4142135623730951;1
['0', '10101', '0', '1011100'];4;1;7;3.5;7;7;27.0;5.196152422706632;1
['0101110', '10', '000001', '0111', '0011000', '01001', '0'];7;1;7;4.57;19;13;33.71;5.80640040940045;1
['0000111', '010000', '000001'];3;6;7;6.33;14;5;0.67;0.816496580927726;1
['1'];1;1;1;1.0;0;1;0.0;0.0;1
['10100', '1010', '1'];3;1;5;3.33;5;5;8.67;2.9439202887759492;1
['0111000', '1', '0110100', '00001', '10010', '1000', '1001', '00', '000101'];9;1;7;4.56;26;15;34.22;5.849976258261415;1
['01', '1', '001', '1000111'];4;1;7;3.25;6;7;20.75;4.55521678957215;1
['110', '01101'];2;3;5;4.0;3;5;2.0;1.4142135623730951;1
['111111', '000011', '0', '10111'];4;1;6;4.5;6;12;17.0;4.123105625617661;1
['10'];1;2;2;2.0;1;1;0.0;0.0;1
['1101111'];1;7;7;7.0;1;6;0.0;0.0;1
['111100', '0', '11100', '1011111', '0011', '1001'];6;1;7;4.5;10;17;21.5;4.636809247747852;1
['01', '1111', '001100'];3;2;6;4.0;5;7;8.0;2.8284271247461903;1
['1011', '00'];2;2;4;3.0;3;3;2.0;1.4142135623730951;1
['01110', '00111', '01000'];3;5;5;5.0;8;7;0.0;0.0;1
['011110', '11110', '10000'];3;5;6;5.33;7;9;0.67;0.816496580927726;1
['11110'];1;5;5;5.0;1;4;0.0;0.0;1
['0111101', '000', '11'];3;2;7;4.0;5;7;14.0;3.7416573867739413;1
['00100', '011111', '1010001', '000001', '00', '0011111'];6;2;7;5.5;18;15;17.5;4.183300132670378;1
['0000100', '1010', '00', '1010011', '101100'];5;2;7;5.2;16;10;18.8;4.33589667773576;1
['10', '01', '11'];3;2;2;2.0;2;4;0.0;0.0;1
['110010', '0110', '1101', '10001', '100100', '01111'];6;4;6;5.0;14;16;4.0;2.0;1
['00', '0101110'];2;2;7;4.5;5;4;12.5;3.5355339059327378;1
['10010', '0', '01', '0000011', '0', '0110111', '1101111', '1100', '0010000'];9;1;7;4.56;22;19;56.22;7.498147919467995;1
['1', '110001', '1', '10', '011111', '1011'];6;1;6;3.33;6;14;27.33;5.228129047119374;1
['0', '01000', '111', '110', '1100010', '0011', '1010001'];7;1;7;4.29;16;14;29.43;5.42481072744215;1
['00010', '111', '0', '110000', '0101101'];5;1;7;4.4;12;10;23.2;4.8166378315169185;1
['0010101', '1011', '00010', '0000100'];4;4;7;5.75;15;8;6.75;2.598076211353316;1
['00', '001100', '11', '001110', '10'];5;2;6;3.6;10;8;19.2;4.3817804600413295;1
['110011', '110', '1', '010100', '1', '0000'];6;1;6;3.5;11;10;25.5;5.049752469181039;1
['1100011', '0010100', '1011110', '01000', '0000110', '1'];6;1;7;5.67;19;15;29.33;5.416025603090641;1
['00'];1;2;2;2.0;2;0;0.0;0.0;1
['0111000', '1001', '111', '00001', '010101', '101'];6;3;7;4.67;14;14;13.33;3.651483716701107;1
['000000', '011', '01010', '11110', '0001'];5;3;6;4.6;14;9;5.2;2.2803508501982757;1
['0', '00111', '00011', '1101111'];4;1;7;4.5;7;11;19.0;4.358898943540674;1
['1101', '1001', '0100110', '1', '0110100'];5;1;7;4.6;11;12;25.2;5.019960159204453;1
['10', '0100', '101110', '00001', '0011010', '110', '0010'];7;2;7;4.43;18;13;17.71;4.20883424647321;1
['0001', '01', '00010'];3;2;5;3.67;8;3;4.67;2.1602468994692865;1
['0010', '1010100', '11001', '1', '1', '110', '01100'];7;1;7;3.71;13;13;29.43;5.42481072744215;1
['1101', '0000'];2;4;4;4.0;5;3;0.0;0.0;1
['010', '0110011', '0000', '0110', '1011000', '0110'];6;3;7;4.83;17;12;14.83;3.851406669430448;1
['10'];1;2;2;2.0;1;1;0.0;0.0;1
['0', '1', '11000'];3;1;5;2.33;4;3;10.67;3.265986323710904;1
['00011', '01101'];2;5;5;5.0;5;5;0.0;0.0;1
['1011100', '00', '0110100'];3;2;7;5.33;9;7;16.67;4.0824829046386295;1
['01110', '111100'];2;5;6;5.5;4;7;0.5;0.7071067811865476;1
['11'];1;2;2;2.0;0;2;0.0;0.0;1
['011001', '1010001', '1', '0'];4;1;7;3.75;8;7;30.75;5.545268253204709;1
['010000', '000110', '0111', '10111'];4;4;6;5.25;11;10;2.75;1.6583123951777;1
['10', '0111', '0110000', '001010', '00100', '10', '0'];7;1;7;3.86;17;10;30.86;5.554920598635309;1
['10011', '001011'];2;5;6;5.5;5;6;0.5;0.7071067811865476;1
['001101', '0', '111', '111110'];4;1;6;4.0;5;11;18.0;4.242640687119285;1
['110'];1;3;3;3.0;1;2;0.0;0.0;1
['1011011', '00', '01000', '101101', '001'];5;2;7;4.6;12;11;17.2;4.147288270665544;1
['10', '00', '00101', '10'];4;2;5;2.75;7;4;6.75;2.598076211353316;1
['0000111', '110', '1010', '0', '010'];5;1;7;3.6;10;8;19.2;4.381780460041329;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['0', '1011000', '101', '0', '1000001', '01001', '01100', '0'];8;1;7;3.75;19;11;47.5;6.892024376045111;1
['0', '111101', '0100111'];3;1;7;4.67;5;9;20.67;4.546060565661952;1
['010111', '01', '0', '0', '1000000'];5;1;7;3.4;11;6;33.2;5.761944116355173;1
['1', '1'];2;1;1;1.0;0;2;0.0;0.0;1
['0001101', '11100', '11', '01', '1001010', '1110'];6;2;7;4.5;12;15;25.5;5.049752469181039;1
['0', '0100100'];2;1;7;4.0;6;2;18.0;4.242640687119285;1
['10101', '010011', '010011', '01111', '0', '01001', '1011'];7;1;6;4.57;14;18;17.71;4.20883424647321;1
['01', '10', '110', '1111', '10'];5;2;4;2.6;4;9;3.2;1.7888543819998317;1
['0', '100000', '111111'];3;1;6;4.33;6;7;16.67;4.0824829046386295;1
['0110010', '111010', '00', '1011010', '1110001', '1110011'];6;2;7;6.0;16;20;20.0;4.47213595499958;1
['01'];1;2;2;2.0;1;1;0.0;0.0;1
['11100', '0111010', '10', '0011'];4;2;7;4.5;8;10;13.0;3.605551275463989;1
['0', '1101110', '000011', '1000101', '1'];5;1;7;4.4;11;11;39.2;6.260990336999411;1
['1011', '000001', '0111010', '110110', '1011', '111', '1011', '00', '00110'];9;2;7;4.56;18;23;20.22;4.4969125210773475;1
['10', '0100100', '01000', '00'];4;2;7;4.0;12;4;18.0;4.242640687119285;1
['011101', '010', '000000'];3;3;6;5.0;10;5;6.0;2.449489742783178;1
['11010', '00', '0011', '11111'];4;2;5;4.0;6;10;6.0;2.449489742783178;1
['01010'];1;5;5;5.0;3;2;0.0;0.0;1
['011001', '0001100'];2;6;7;6.5;8;5;0.5;0.7071067811865476;1
['1001010', '0001', '010', '1'];4;1;7;3.75;9;6;18.75;4.330127018922194;1
['001', '1111011', '110101'];3;3;7;5.33;5;11;8.67;2.943920288775949;1
['000111', '1000'];2;4;6;5.0;6;4;2.0;1.4142135623730951;1
['011', '1011011', '111011', '110000'];4;3;7;5.5;8;14;9.0;3.0;1
['11010', '0'];2;1;5;3.0;3;3;8.0;2.8284271247461903;1
['11010', '00'];2;2;5;3.5;4;3;4.5;2.1213203435596424;1
['00110', '1110000', '110', '0', '000101'];5;1;7;4.4;13;9;23.2;4.8166378315169185;1
['10', '0', '0111'];3;1;4;2.33;3;4;4.67;2.1602468994692865;1
['0', '000111', '11001', '1', '0', '010'];6;1;6;2.83;9;8;24.83;4.983305462575351;1
['101', '0111001', '001', '0001100'];4;3;7;5.0;11;9;16.0;4.0;1
['100', '1100101', '0000101', '011000'];4;3;7;5.75;14;9;10.75;3.278719262151;1
['1110011', '011', '0'];3;1;7;3.67;4;7;18.67;4.320493798938574;1
['101101', '01010'];2;5;6;5.5;5;6;0.5;0.7071067811865476;1
['1', '100100', '0'];3;1;6;2.67;5;3;16.67;4.08248290463863;1
['100110', '111100'];2;6;6;6.0;5;7;0.0;0.0;1
['0', '001'];2;1;3;2.0;3;1;2.0;1.4142135623730951;1
['000', '1', '0100001', '100'];4;1;7;3.5;10;4;19.0;4.358898943540674;1
['001000', '01000', '0001010', '100111', '11'];5;2;7;5.2;16;10;14.8;3.847076812334269;1
['0', '11', '110011', '000110', '011001', '01'];6;1;6;3.83;11;12;28.83;5.369667897862337;1
['000001', '1', '011', '1011010'];4;1;7;4.25;9;8;22.75;4.769696007084728;1
['0101010', '111', '0', '101', '001111', '0', '110011'];7;1;7;3.86;11;16;36.86;6.071008388821651;1
['0001', '110'];2;3;4;3.5;4;3;0.5;0.7071067811865476;1
['11010', '1110110', '1100', '10', '0010011', '0010100'];6;2;7;5.33;16;16;21.33;4.618802153517006;1
['01', '1011'];2;2;4;3.0;2;4;2.0;1.4142135623730951;1
['01', '00', '1011'];3;2;4;2.67;4;4;2.67;1.632993161855452;1
['1', '1', '000', '0011001'];4;1;7;3.0;7;5;24.0;4.898979485566356;1
['11010', '0000101', '010100', '010100', '10', '111110', '1000', '0100001'];8;2;7;5.38;25;18;19.88;4.458138625031752;1
['1111', '1010'];2;4;4;4.0;2;6;0.0;0.0;1
['110111', '0001', '1001111', '1100', '0', '0111', '1', '0', '0'];9;1;7;3.22;12;17;43.56;6.599663291074443;1
['01', '010110'];2;2;6;4.0;4;4;8.0;2.8284271247461903;1
['1100100', '1100', '001', '0100', '1010'];5;3;7;4.4;13;9;9.2;3.03315017762062;1
['111'];1;3;3;3.0;0;3;0.0;0.0;1
['0011101', '0', '0'];3;1;7;3.0;5;4;24.0;4.898979485566356;1
['0111'];1;4;4;4.0;1;3;0.0;0.0;1
['01'];1;2;2;2.0;1;1;0.0;0.0;1
['111', '01001', '000', '1110101', '011000'];5;3;7;4.8;12;12;12.8;3.5777087639996634;1
['001001', '0101', '00', '0110010', '1111110'];5;2;7;5.2;13;13;18.8;4.33589667773576;1
['10101', '010001', '101', '0000', '10011'];5;3;6;4.6;13;10;5.2;2.2803508501982757;1
['1011001', '100001', '01111', '0', '1100', '00010'];6;1;7;4.67;15;13;21.33;4.618802153517007;1
['1', '0', '00001', '1010011'];4;1;7;3.5;8;6;27.0;5.196152422706632;1
['0010011', '0'];2;1;7;4.0;5;3;18.0;4.242640687119285;1
['1', '101', '110101'];3;1;6;3.33;3;7;12.67;3.559026084010437;1
['01111', '011001', '11010'];3;5;6;5.33;6;10;0.67;0.816496580927726;1
['1110110', '11', '0100', '0', '100100', '011000'];6;1;7;4.33;14;12;29.33;5.41602560309064;1
['11010', '00111', '0111000', '00'];4;2;7;4.75;10;9;12.75;3.570714214271425;1
['10100', '01111', '0111'];3;4;5;4.67;5;9;0.67;0.816496580927726;1
['010011', '111', '00101', '11001'];4;3;6;4.75;8;11;4.75;2.179449471770337;1
['01', '00', '0100011', '1001010'];4;2;7;4.5;11;7;25.0;5.0;1
['011', '0111', '101', '001', '0'];5;1;4;2.8;6;8;4.8;2.1908902300206643;1
['1110', '0110', '0', '00011', '10'];5;1;5;3.2;8;8;10.8;3.286335345030997;1
['1010101'];1;7;7;7.0;3;4;0.0;0.0;1
['001', '1', '1', '0', '110'];5;1;3;1.8;4;5;4.8;2.1908902300206647;1
['111100', '111111', '00011', '00', '111001', '1111110', '00'];7;2;7;4.86;12;22;24.86;4.9856938190329;1
['01111', '1010101', '00'];3;2;7;4.67;6;8;12.67;3.559026084010437;1
['1100010'];1;7;7;7.0;4;3;0.0;0.0;1
['000'];1;3;3;3.0;3;0;0.0;0.0;1
['111', '1011111'];2;3;7;5.0;1;9;8.0;2.8284271247461903;1
['001', '111101', '00'];3;2;6;3.67;5;6;8.67;2.9439202887759492;1
['001110', '010010', '110110', '00'];4;2;6;5.0;11;9;12.0;3.4641016151377544;1
['10000'];1;5;5;5.0;4;1;0.0;0.0;1
['00011', '1', '001011', '0100', '1001'];5;1;6;4.0;11;9;14.0;3.7416573867739413;1
['1', '1101', '0010001'];3;1;7;4.0;6;6;18.0;4.242640687119285;1
['100', '001001', '00'];3;2;6;3.67;8;3;8.67;2.9439202887759492;1
['11110'];1;5;5;5.0;1;4;0.0;0.0;1
['0'];1;1;1;1.0;1;0;0.0;0.0;1
['1011101', '001', '10000', '1111001', '00100', '0101'];6;3;7;5.17;16;15;12.83;3.582364210034113;1
['0010011', '1011'];2;4;7;5.5;5;6;4.5;2.1213203435596424;1
['110', '1011', '0000110'];3;3;7;4.67;7;7;8.67;2.943920288775949;1
['0010010', '111110', '1', '100000', '0', '0100010', '0', '1001100', '00111'];9;1;7;4.56;24;17;60.22;7.760297817881877;1
['001100', '00'];2;2;6;4.0;6;2;8.0;2.8284271247461903;1
['1101', '110000', '10010'];3;4;6;5.0;8;7;2.0;1.4142135623730951;1
['1100001', '11', '11', '001011'];4;2;7;4.25;7;10;20.75;4.55521678957215;1
['110001', '0101', '1111', '00010', '0', '10010', '1010010'];7;1;7;4.57;17;15;21.71;4.65985898008574;1
['1100', '01010'];2;4;5;4.5;5;4;0.5;0.7071067811865476;1
